date,pm25,station_source,year
2011-01-01,,36T,2011
2011-01-02,,36T,2011
2011-01-03,,36T,2011
2011-01-04,,36T,2011
2011-01-05,,36T,2011
2011-01-06,,36T,2011
2011-01-07,,36T,2011
2011-01-08,,36T,2011
2011-01-09,,36T,2011
2011-01-10,,36T,2011
2011-01-11,,36T,2011
2011-01-12,,36T,2011
2011-01-13,,36T,2011
2011-01-14,,36T,2011
2011-01-15,,36T,2011
2011-01-16,,36T,2011
2011-01-17,,36T,2011
2011-01-18,,36T,2011
2011-01-19,,36T,2011
2011-01-20,,36T,2011
2011-01-21,,36T,2011
2011-01-22,,36T,2011
2011-01-23,,36T,2011
2011-01-24,,36T,2011
2011-01-25,,36T,2011
2011-01-26,,36T,2011
2011-01-27,,36T,2011
2011-01-28,,36T,2011
2011-01-29,,36T,2011
2011-01-30,,36T,2011
2011-01-31,,36T,2011
2011-02-01,,36T,2011
2011-02-02,,36T,2011
2011-02-03,,36T,2011
2011-02-04,,36T,2011
2011-02-05,,36T,2011
2011-02-06,,36T,2011
2011-02-07,,36T,2011
2011-02-08,,36T,2011
2011-02-09,,36T,2011
2011-02-10,,36T,2011
2011-02-11,,36T,2011
2011-02-12,,36T,2011
2011-02-13,,36T,2011
2011-02-14,,36T,2011
2011-02-15,,36T,2011
2011-02-16,,36T,2011
2011-02-17,,36T,2011
2011-02-18,,36T,2011
2011-02-19,,36T,2011
2011-02-20,,36T,2011
2011-02-21,,36T,2011
2011-02-22,,36T,2011
2011-02-23,,36T,2011
2011-02-24,,36T,2011
2011-02-25,,36T,2011
2011-02-26,,36T,2011
2011-02-27,,36T,2011
2011-02-28,,36T,2011
2011-03-01,,36T,2011
2011-03-02,,36T,2011
2011-03-03,,36T,2011
2011-03-04,,36T,2011
2011-03-05,,36T,2011
2011-03-06,,36T,2011
2011-03-07,,36T,2011
2011-03-08,,36T,2011
2011-03-09,,36T,2011
2011-03-10,,36T,2011
2011-03-11,,36T,2011
2011-03-12,,36T,2011
2011-03-13,,36T,2011
2011-03-14,,36T,2011
2011-03-15,,36T,2011
2011-03-16,,36T,2011
2011-03-17,,36T,2011
2011-03-18,,36T,2011
2011-03-19,,36T,2011
2011-03-20,,36T,2011
2011-03-21,,36T,2011
2011-03-22,,36T,2011
2011-03-23,,36T,2011
2011-03-24,,36T,2011
2011-03-25,,36T,2011
2011-03-26,,36T,2011
2011-03-27,,36T,2011
2011-03-28,,36T,2011
2011-03-29,,36T,2011
2011-03-30,,36T,2011
2011-03-31,,36T,2011
2011-04-01,,36T,2011
2011-04-02,,36T,2011
2011-04-03,,36T,2011
2011-04-04,,36T,2011
2011-04-05,,36T,2011
2011-04-06,,36T,2011
2011-04-07,,36T,2011
2011-04-08,,36T,2011
2011-04-09,,36T,2011
2011-04-10,,36T,2011
2011-04-11,,36T,2011
2011-04-12,,36T,2011
2011-04-13,,36T,2011
2011-04-14,,36T,2011
2011-04-15,,36T,2011
2011-04-16,,36T,2011
2011-04-17,,36T,2011
2011-04-18,,36T,2011
2011-04-19,,36T,2011
2011-04-20,,36T,2011
2011-04-21,,36T,2011
2011-04-22,,36T,2011
2011-04-23,,36T,2011
2011-04-24,,36T,2011
2011-04-25,,36T,2011
2011-04-26,,36T,2011
2011-04-27,,36T,2011
2011-04-28,,36T,2011
2011-04-29,,36T,2011
2011-04-30,,36T,2011
2011-05-01,,36T,2011
2011-05-02,,36T,2011
2011-05-03,,36T,2011
2011-05-04,,36T,2011
2011-05-05,,36T,2011
2011-05-06,,36T,2011
2011-05-07,,36T,2011
2011-05-08,,36T,2011
2011-05-09,,36T,2011
2011-05-10,,36T,2011
2011-05-11,,36T,2011
2011-05-12,,36T,2011
2011-05-13,,36T,2011
2011-05-14,,36T,2011
2011-05-15,,36T,2011
2011-05-16,,36T,2011
2011-05-17,3.0,36T,2011
2011-05-18,12.0,36T,2011
2011-05-19,13.0,36T,2011
2011-05-20,19.0,36T,2011
2011-05-21,22.0,36T,2011
2011-05-22,22.0,36T,2011
2011-05-23,26.0,36T,2011
2011-05-24,29.0,36T,2011
2011-05-25,27.0,36T,2011
2011-05-26,22.0,36T,2011
2011-05-27,16.0,36T,2011
2011-05-28,17.0,36T,2011
2011-05-29,12.0,36T,2011
2011-05-30,15.0,36T,2011
2011-05-31,15.0,36T,2011
2011-06-01,19.0,36T,2011
2011-06-02,20.0,36T,2011
2011-06-03,15.0,36T,2011
2011-06-04,13.0,36T,2011
2011-06-05,11.0,36T,2011
2011-06-06,12.0,36T,2011
2011-06-07,12.0,36T,2011
2011-06-08,13.0,36T,2011
2011-06-09,9.0,36T,2011
2011-06-10,10.0,36T,2011
2011-06-11,10.0,36T,2011
2011-06-12,9.0,36T,2011
2011-06-13,10.0,36T,2011
2011-06-14,11.0,36T,2011
2011-06-15,11.0,36T,2011
2011-06-16,11.0,36T,2011
2011-06-17,14.0,36T,2011
2011-06-18,14.0,36T,2011
2011-06-19,12.0,36T,2011
2011-06-20,13.0,36T,2011
2011-06-21,17.0,36T,2011
2011-06-22,20.0,36T,2011
2011-06-23,21.0,36T,2011
2011-06-24,16.0,36T,2011
2011-06-25,15.0,36T,2011
2011-06-26,13.0,36T,2011
2011-06-27,15.0,36T,2011
2011-06-28,16.0,36T,2011
2011-06-29,18.0,36T,2011
2011-06-30,22.0,36T,2011
2011-07-01,16.0,36T,2011
2011-07-02,13.0,36T,2011
2011-07-03,10.0,36T,2011
2011-07-04,12.0,36T,2011
2011-07-05,14.0,36T,2011
2011-07-06,12.0,36T,2011
2011-07-07,10.0,36T,2011
2011-07-08,16.0,36T,2011
2011-07-09,17.0,36T,2011
2011-07-10,11.0,36T,2011
2011-07-11,11.0,36T,2011
2011-07-12,15.0,36T,2011
2011-07-13,12.0,36T,2011
2011-07-14,13.0,36T,2011
2011-07-15,9.0,36T,2011
2011-07-16,7.0,36T,2011
2011-07-17,10.0,36T,2011
2011-07-18,11.0,36T,2011
2011-07-19,11.0,36T,2011
2011-07-20,12.0,36T,2011
2011-07-21,12.0,36T,2011
2011-07-22,13.0,36T,2011
2011-07-23,16.0,36T,2011
2011-07-24,17.0,36T,2011
2011-07-25,15.0,36T,2011
2011-07-26,14.0,36T,2011
2011-07-27,14.0,36T,2011
2011-07-28,17.0,36T,2011
2011-07-29,15.0,36T,2011
2011-07-30,13.0,36T,2011
2011-07-31,11.0,36T,2011
2011-08-01,9.0,36T,2011
2011-08-02,10.0,36T,2011
2011-08-03,12.0,36T,2011
2011-08-04,13.0,36T,2011
2011-08-05,18.0,36T,2011
2011-08-06,17.0,36T,2011
2011-08-07,13.0,36T,2011
2011-08-08,15.0,36T,2011
2011-08-09,14.0,36T,2011
2011-08-10,18.0,36T,2011
2011-08-11,16.0,36T,2011
2011-08-12,12.0,36T,2011
2011-08-13,12.0,36T,2011
2011-08-14,18.0,36T,2011
2011-08-15,14.0,36T,2011
2011-08-16,13.0,36T,2011
2011-08-17,11.0,36T,2011
2011-08-18,12.0,36T,2011
2011-08-19,9.0,36T,2011
2011-08-20,10.0,36T,2011
2011-08-21,7.0,36T,2011
2011-08-22,10.0,36T,2011
2011-08-23,9.0,36T,2011
2011-08-24,10.0,36T,2011
2011-08-25,10.0,36T,2011
2011-08-26,7.0,36T,2011
2011-08-27,9.0,36T,2011
2011-08-28,10.0,36T,2011
2011-08-29,12.0,36T,2011
2011-08-30,9.0,36T,2011
2011-08-31,8.0,36T,2011
2011-09-01,9.0,36T,2011
2011-09-02,8.0,36T,2011
2011-09-03,11.0,36T,2011
2011-09-04,9.0,36T,2011
2011-09-05,7.0,36T,2011
2011-09-06,8.0,36T,2011
2011-09-07,7.0,36T,2011
2011-09-08,11.0,36T,2011
2011-09-09,10.0,36T,2011
2011-09-10,13.0,36T,2011
2011-09-11,13.0,36T,2011
2011-09-12,9.0,36T,2011
2011-09-13,7.0,36T,2011
2011-09-14,6.0,36T,2011
2011-09-15,9.0,36T,2011
2011-09-16,11.0,36T,2011
2011-09-17,13.0,36T,2011
2011-09-18,9.0,36T,2011
2011-09-19,12.0,36T,2011
2011-09-20,8.0,36T,2011
2011-09-21,,36T,2011
2011-09-22,,36T,2011
2011-09-23,10.0,36T,2011
2011-09-24,7.0,36T,2011
2011-09-25,9.0,36T,2011
2011-09-26,7.0,36T,2011
2011-09-27,9.0,36T,2011
2011-09-28,6.0,36T,2011
2011-09-29,11.0,36T,2011
2011-09-30,8.0,36T,2011
2011-10-01,10.0,36T,2011
2011-10-02,8.0,36T,2011
2011-10-03,16.0,36T,2011
2011-10-04,10.0,36T,2011
2011-10-05,12.0,36T,2011
2011-10-06,13.0,36T,2011
2011-10-07,13.0,36T,2011
2011-10-08,10.0,36T,2011
2011-10-09,10.0,36T,2011
2011-10-10,11.0,36T,2011
2011-10-11,14.0,36T,2011
2011-10-12,14.0,36T,2011
2011-10-13,17.0,36T,2011
2011-10-14,17.0,36T,2011
2011-10-15,18.0,36T,2011
2011-10-16,10.0,36T,2011
2011-10-17,9.0,36T,2011
2011-10-18,10.0,36T,2011
2011-10-19,14.0,36T,2011
2011-10-20,19.0,36T,2011
2011-10-21,23.0,36T,2011
2011-10-22,20.0,36T,2011
2011-10-23,20.0,36T,2011
2011-10-24,20.0,36T,2011
2011-10-25,20.0,36T,2011
2011-10-26,16.0,36T,2011
2011-10-27,20.0,36T,2011
2011-10-28,16.0,36T,2011
2011-10-29,16.0,36T,2011
2011-10-30,12.0,36T,2011
2011-10-31,16.0,36T,2011
2011-11-01,15.0,36T,2011
2011-11-02,18.0,36T,2011
2011-11-03,18.0,36T,2011
2011-11-04,18.0,36T,2011
2011-11-05,13.0,36T,2011
2011-11-06,16.0,36T,2011
2011-11-07,19.0,36T,2011
2011-11-08,19.0,36T,2011
2011-11-09,,36T,2011
2011-11-10,,36T,2011
2011-11-11,13.0,36T,2011
2011-11-12,19.0,36T,2011
2011-11-13,15.0,36T,2011
2011-11-14,19.0,36T,2011
2011-11-15,14.0,36T,2011
2011-11-16,14.0,36T,2011
2011-11-17,16.0,36T,2011
2011-11-18,19.0,36T,2011
2011-11-19,,36T,2011
2011-11-20,,36T,2011
2011-11-21,,36T,2011
2011-11-22,32.0,36T,2011
2011-11-23,22.0,36T,2011
2011-11-24,11.0,36T,2011
2011-11-25,15.0,36T,2011
2011-11-26,18.0,36T,2011
2011-11-27,21.0,36T,2011
2011-11-28,20.0,36T,2011
2011-11-29,20.0,36T,2011
2011-11-30,20.0,36T,2011
2011-12-01,20.0,36T,2011
2011-12-02,17.0,36T,2011
2011-12-03,23.0,36T,2011
2011-12-04,24.0,36T,2011
2011-12-05,28.0,36T,2011
2011-12-06,25.0,36T,2011
2011-12-07,20.0,36T,2011
2011-12-08,20.0,36T,2011
2011-12-09,19.0,36T,2011
2011-12-10,17.0,36T,2011
2011-12-11,17.0,36T,2011
2011-12-12,21.0,36T,2011
2011-12-13,25.0,36T,2011
2011-12-14,24.0,36T,2011
2011-12-15,23.0,36T,2011
2011-12-16,22.0,36T,2011
2011-12-17,21.0,36T,2011
2011-12-18,22.0,36T,2011
2011-12-19,18.0,36T,2011
2011-12-20,15.0,36T,2011
2011-12-21,18.0,36T,2011
2011-12-22,16.0,36T,2011
2011-12-23,22.0,36T,2011
2011-12-24,24.0,36T,2011
2011-12-25,26.0,36T,2011
2011-12-26,31.0,36T,2011
2011-12-27,33.0,36T,2011
2011-12-28,32.0,36T,2011
2011-12-29,28.0,36T,2011
2011-12-30,22.0,36T,2011
2011-12-31,21.0,36T,2011
2012-01-01,19.0,36T,2012
2012-01-02,15.0,36T,2012
2012-01-03,16.0,36T,2012
2012-01-04,15.0,36T,2012
2012-01-05,18.0,36T,2012
2012-01-06,17.0,36T,2012
2012-01-07,17.0,36T,2012
2012-01-08,21.0,36T,2012
2012-01-09,23.0,36T,2012
2012-01-10,19.0,36T,2012
2012-01-11,18.0,36T,2012
2012-01-12,20.0,36T,2012
2012-01-13,26.0,36T,2012
2012-01-14,24.0,36T,2012
2012-01-15,16.0,36T,2012
2012-01-16,17.0,36T,2012
2012-01-17,19.0,36T,2012
2012-01-18,20.0,36T,2012
2012-01-19,17.0,36T,2012
2012-01-20,20.0,36T,2012
2012-01-21,14.0,36T,2012
2012-01-22,13.0,36T,2012
2012-01-23,13.0,36T,2012
2012-01-24,14.0,36T,2012
2012-01-25,14.0,36T,2012
2012-01-26,14.0,36T,2012
2012-01-27,16.0,36T,2012
2012-01-28,16.0,36T,2012
2012-01-29,21.0,36T,2012
2012-01-30,21.0,36T,2012
2012-01-31,27.0,36T,2012
2012-02-01,28.0,36T,2012
2012-02-02,25.0,36T,2012
2012-02-03,27.0,36T,2012
2012-02-04,22.0,36T,2012
2012-02-05,21.0,36T,2012
2012-02-06,22.0,36T,2012
2012-02-07,25.0,36T,2012
2012-02-08,28.0,36T,2012
2012-02-09,34.0,36T,2012
2012-02-10,29.0,36T,2012
2012-02-11,29.0,36T,2012
2012-02-12,27.0,36T,2012
2012-02-13,23.0,36T,2012
2012-02-14,29.0,36T,2012
2012-02-15,45.0,36T,2012
2012-02-16,41.0,36T,2012
2012-02-17,88.0,36T,2012
2012-02-18,97.0,36T,2012
2012-02-19,52.0,36T,2012
2012-02-20,48.0,36T,2012
2012-02-21,51.0,36T,2012
2012-02-22,53.0,36T,2012
2012-02-23,75.0,36T,2012
2012-02-24,82.0,36T,2012
2012-02-25,122.0,36T,2012
2012-02-26,117.0,36T,2012
2012-02-27,81.0,36T,2012
2012-02-28,79.0,36T,2012
2012-02-29,83.0,36T,2012
2012-03-01,89.0,36T,2012
2012-03-02,100.0,36T,2012
2012-03-03,86.0,36T,2012
2012-03-04,74.0,36T,2012
2012-03-05,85.0,36T,2012
2012-03-06,105.0,36T,2012
2012-03-07,120.0,36T,2012
2012-03-08,120.0,36T,2012
2012-03-09,147.0,36T,2012
2012-03-10,110.0,36T,2012
2012-03-11,34.0,36T,2012
2012-03-12,34.0,36T,2012
2012-03-13,31.0,36T,2012
2012-03-14,29.0,36T,2012
2012-03-15,38.0,36T,2012
2012-03-16,40.0,36T,2012
2012-03-17,66.0,36T,2012
2012-03-18,120.0,36T,2012
2012-03-19,127.0,36T,2012
2012-03-20,104.0,36T,2012
2012-03-21,85.0,36T,2012
2012-03-22,74.0,36T,2012
2012-03-23,73.0,36T,2012
2012-03-24,67.0,36T,2012
2012-03-25,60.0,36T,2012
2012-03-26,50.0,36T,2012
2012-03-27,46.0,36T,2012
2012-03-28,51.0,36T,2012
2012-03-29,64.0,36T,2012
2012-03-30,72.0,36T,2012
2012-03-31,90.0,36T,2012
2012-04-01,58.0,36T,2012
2012-04-02,55.0,36T,2012
2012-04-03,58.0,36T,2012
2012-04-04,68.0,36T,2012
2012-04-05,31.0,36T,2012
2012-04-06,31.0,36T,2012
2012-04-07,16.0,36T,2012
2012-04-08,23.0,36T,2012
2012-04-09,24.0,36T,2012
2012-04-10,27.0,36T,2012
2012-04-11,29.0,36T,2012
2012-04-12,36.0,36T,2012
2012-04-13,46.0,36T,2012
2012-04-14,43.0,36T,2012
2012-04-15,44.0,36T,2012
2012-04-16,39.0,36T,2012
2012-04-17,36.0,36T,2012
2012-04-18,38.0,36T,2012
2012-04-19,38.0,36T,2012
2012-04-20,36.0,36T,2012
2012-04-21,48.0,36T,2012
2012-04-22,48.0,36T,2012
2012-04-23,40.0,36T,2012
2012-04-24,42.0,36T,2012
2012-04-25,49.0,36T,2012
2012-04-26,56.0,36T,2012
2012-04-27,42.0,36T,2012
2012-04-28,36.0,36T,2012
2012-04-29,22.0,36T,2012
2012-04-30,19.0,36T,2012
2012-05-01,18.0,36T,2012
2012-05-02,22.0,36T,2012
2012-05-03,28.0,36T,2012
2012-05-04,23.0,36T,2012
2012-05-05,14.0,36T,2012
2012-05-06,8.0,36T,2012
2012-05-07,10.0,36T,2012
2012-05-08,16.0,36T,2012
2012-05-09,23.0,36T,2012
2012-05-10,22.0,36T,2012
2012-05-11,31.0,36T,2012
2012-05-12,29.0,36T,2012
2012-05-13,28.0,36T,2012
2012-05-14,28.0,36T,2012
2012-05-15,28.0,36T,2012
2012-05-16,,36T,2012
2012-05-17,25.0,36T,2012
2012-05-18,19.0,36T,2012
2012-05-19,21.0,36T,2012
2012-05-20,21.0,36T,2012
2012-05-21,16.0,36T,2012
2012-05-22,20.0,36T,2012
2012-05-23,25.0,36T,2012
2012-05-24,21.0,36T,2012
2012-05-25,30.0,36T,2012
2012-05-26,24.0,36T,2012
2012-05-27,18.0,36T,2012
2012-05-28,16.0,36T,2012
2012-05-29,12.0,36T,2012
2012-05-30,11.0,36T,2012
2012-05-31,15.0,36T,2012
2012-06-01,16.0,36T,2012
2012-06-02,21.0,36T,2012
2012-06-03,24.0,36T,2012
2012-06-04,20.0,36T,2012
2012-06-05,23.0,36T,2012
2012-06-06,25.0,36T,2012
2012-06-07,21.0,36T,2012
2012-06-08,16.0,36T,2012
2012-06-09,12.0,36T,2012
2012-06-10,11.0,36T,2012
2012-06-11,14.0,36T,2012
2012-06-12,15.0,36T,2012
2012-06-13,18.0,36T,2012
2012-06-14,20.0,36T,2012
2012-06-15,22.0,36T,2012
2012-06-16,24.0,36T,2012
2012-06-17,15.0,36T,2012
2012-06-18,11.0,36T,2012
2012-06-19,11.0,36T,2012
2012-06-20,13.0,36T,2012
2012-06-21,11.0,36T,2012
2012-06-22,14.0,36T,2012
2012-06-23,16.0,36T,2012
2012-06-24,14.0,36T,2012
2012-06-25,14.0,36T,2012
2012-06-26,12.0,36T,2012
2012-06-27,14.0,36T,2012
2012-06-28,10.0,36T,2012
2012-06-29,13.0,36T,2012
2012-06-30,13.0,36T,2012
2012-07-01,14.0,36T,2012
2012-07-02,15.0,36T,2012
2012-07-03,16.0,36T,2012
2012-07-04,17.0,36T,2012
2012-07-05,15.0,36T,2012
2012-07-06,16.0,36T,2012
2012-07-07,10.0,36T,2012
2012-07-08,12.0,36T,2012
2012-07-09,14.0,36T,2012
2012-07-10,17.0,36T,2012
2012-07-11,16.0,36T,2012
2012-07-12,12.0,36T,2012
2012-07-13,14.0,36T,2012
2012-07-14,8.0,36T,2012
2012-07-15,8.0,36T,2012
2012-07-16,11.0,36T,2012
