feature,importance
humidity_max,403
pressure,403
temp_min,393
pm25_roll7_std,360
wind_dir_cos,348
cloud_cover,344
wind_dir_sin,334
pm25_roll14_mean,321
humidity_min,317
pm25_roll14_std,316
wind_speed,310
humidity_wind,307
lag1_x_temp,300
pm25_lag30,286
pm25_lag7,283
cos_doy,276
sin_doy,274
temp_max,268
evapotranspiration,267
precipitation,266
pm25_lag3,261
lag1_x_wind,259
pm25_lag1,259
pm25_lag14,254
temp_mean,249
pm25_roll7_mean,243
pm25_roll30_mean,239
pm25_roll3_mean,233
day_of_year,190
hotspot_7d_roll,152
hotspot_14d_roll,147
mean_frp_50km,120
week,120
hotspot_100km,109
roll7_x_fire,71
hotspot_50km,59
sin_month,30
month,26
cos_month,17
precip_flag,17
alert_lag1,3
fire_flag,2
alert_lag3,2
is_haze_season,1
alert_lag7,1
