feature,importance
sin_month,0.7442194
alert_lag7,0.046862982
hotspot_7d_roll,0.03378942
day_of_year,0.021948513
hotspot_14d_roll,0.019462217
cos_doy,0.016893744
roll7_x_fire,0.01607128
week,0.01383876
pm25_roll14_mean,0.008327317
hotspot_50km,0.007261673
pm25_roll14_std,0.006271435
mean_frp_50km,0.005896113
precip_flag,0.0050457814
pm25_roll30_mean,0.0038283311
temp_mean,0.0036836998
hotspot_100km,0.0035296716
pm25_lag1,0.003350614
temp_min,0.0033451237
sin_doy,0.0029013758
pm25_roll3_mean,0.002881315
pm25_roll7_std,0.002351798
pm25_lag14,0.0021751162
pm25_lag30,0.0020818529
pressure,0.0019765382
lag1_x_temp,0.0019026689
pm25_lag3,0.0018557655
pm25_roll7_mean,0.001851495
humidity_min,0.0018155584
pm25_lag7,0.0017802783
temp_max,0.0015681252
evapotranspiration,0.0015056679
wind_dir_sin,0.0014767721
lag1_x_wind,0.0014092203
fire_flag,0.0012363783
cloud_cover,0.0011966062
wind_dir_cos,0.0010485642
humidity_wind,0.00093609304
wind_speed,0.0009359574
humidity_max,0.00078289007
month,0.00028730166
precipitation,0.00024851726
cos_month,0.00016814638
alert_lag1,0.0
alert_lag3,0.0
is_haze_season,0.0
